taxon	taxID
Abylidae	316207
Acanthephyridae	2581047
Acanthochiasmidae	1127098
Acanthochitonidae	6653
Acanthogorgiidae	44188
Acanthometridae	85463
Acanthuridae	29146
Acarnidae	561729
Acartiidae	121147
Acervulinidae	2781583
Achnanthaceae	216726
Acidimicrobiaceae	84994
Acinetosporaceae	142642
Acipenseridae	7900
Acoetidae	55700
Acrochaetiaceae	31356
Acrocirridae	278013
Acrosymphytaceae	142495
Acteonidae	71511
Acteonoidea	71510
Actiniidae	42822
Actinommidae	414914
Actinomycetaceae	2049
Actinostolidae	86589
Adeonidae	558780
Adeonoidea	558779
Aegialoalaimidae	2044976
Aegidae	155681
Aegisthidae	610283
Aeolidiidae	195871
Aeolidioidea	71481
Aequoreidae	128126
Aeromonadaceae	84642
Aeteidae	271727
Aetideidae	201683
Agalmatidae	168757
Agathotanaidae	992995
Agelasidae	85771
Aglajidae	195876
Aglaopheniidae	308582
Agonidae	30972
Aiptasiidae	42823
Akanthophoreidae	1629958
Akeridae	71499
Alabaminidae	331060
Alacuppidae	2597106
Albuneidae	177214
Alcaligenaceae	506
Alcanivoracaceae	224372
Alcidae	28683
Alcyoniidae	40678
Alepocephalidae	134615
Aliciidae	163699
Alopiidae	7850
Alpheidae	29966
Alpheoidea	115581
Alteromonadaceae	72275
Amathinidae	2829362
Ameiridae	512263
Ammodytidae	84619
Ammotheidae	61893
Ampeliscidae	317518
Ampharetidae	6374
Amphidiniaceae	2922899
Amphidomataceae	1123714
Amphilochidae	371476
Amphilochidira	2692346
Amphilochoidea	2692358
Amphilothaceae	2219860
Amphinomidae	104701
Amphipleuraceae	265535
Amphiporidae	120982
Amphisoleniaceae	584885
Amphitretidae	168637
Amphiuridae	106738
Amphiuroidea	2785021
Amphoriscidae	73651
Ampithoidae	134540
Anabathridae	413184
Anadyomenaceae	222489
Anarhichadidae	8202
Anatidae	8830
Ancistrocheiridae	61683
Ancorabolidae	610285
Ancorinidae	77184
Andvakiidae	491810
Anguillidae	7934
Annectocymidae	646406
Anomalinidae	331038
Anomiidae	102289
Anomioidea	114960
Anoplostomatidae	308676
Antedonidae	35072
Anthothelidae	44179
Anthuridae	96830
Anticomidae	291244
Antipathidae	44169
Antroporidae	2795895
Aoridae	134544
Aoroidea	1732301
Aphroditidae	45664
Apistobranchidae	195213
Aplysiidae	6498
Aplysinidae	121475
Aplysioidea	216318
Apogonidae	83881
Apolemiidae	316168
Aporcelaimidae	211220
Aporrhaidae	387441
Apseudidae	116695
Apseudoidea	401274
Arachnactidae	1048509
Arbaciidae	31183
Archimonocelididae	44230
Architectonicidae	69687
Architectonicoidea	190188
Architeuthidae	34554
Arcidae	6553
Arcoidea	106221
Arcturidae	160637
Ardeidae	8899
Arenicolidae	42115
Argentinidae	170194
Argestidae	512264
Argonautidae	283088
Arhynchobatidae	117867
Arietellidae	883842
Aristeidae	111524
Aristiidae	1732361
Aristioidea	2692367
Arminidae	71478
Artemiidae	38009
Arthrocladiaceae	62314
Ascampbelliellidae	1925330
Ascidae	91336
Ascidiidae	30274
Ascorhynchidae	1126008
Aspidosiphonidae	91377
Assimineidae	55970
Astartidae	278202
Asteriidae	7600
Asterinidae	7592
Asterocheridae	298470
Asterolampraceae	941246
Astropectinidae	55649
Atelecyclidae	291371
Atherinidae	69128
Atlantidae	649145
Atollidae	293316
Attheyaceae	265577
Atylidae	371482
Augaptilidae	201673
Aulacanthidae	238791
Aulopidae	81361
Aurantimonadaceae	255475
Auriculaceae	1951969
Axiidae	397928
Axinellidae	45118
Axonolaimidae	320094
Axonolaimoidea	320100
Bacillaceae	186817
Bacillariaceae	33852
Bacteriovoracaceae	263369
Bacteroidaceae	815
Baeriidae	667383
Bairdiidae	84298
Bairdioidea	84320
Balaenopteridae	9765
Balanidae	37806
Balanoidea	2899671
Balistidae	31024
Bangiaceae	31345
Barleeiidae	1260512
Bathycrinidae	228676
Batillipedidae	335724
Batrachoididae	8065
Beaniidae	300487
Bellerocheaceae	210442
Belonidae	94935
Benthesicymidae	111525
Benthimermithidae	1144940
Berkeleyaceae	1003034
Beroidae	37539
Biddulphiaceae	210445
Biemnidae	1779171
Bifidobacteriaceae	31953
Bitectiporidae	97280
Blenniidae	56718
Bodotriidae	94525
Bogidiellidae	556223
Bolbocoleonaceae	2682556
Bolinopsidae	51105
Bolivinidae	46101
Boloceroididae	51819
Bonelliidae	47116
Bonnemaisoniaceae	31365
Bopyridae	155698
Boreohydridae	576754
Borsoniidae	6489
Bothidae	8253
Botrucnidiferidae	1938925
Bougainvilliidae	168713
Braarudosphaeraceae	373044
Brachidiniaceae	1003173
Brachioteuthidae	61756
Brachyscelidae	472032
Bradyrhizobiaceae	41294
Bramidae	215350
Branchiostomatidae	7736
Bregmacerotidae	30757
Brevibacteriaceae	85019
Brisingidae	105865
Brissidae	41319
Bryocryptellidae	769008
Bryopsidaceae	3127
Bubaridae	942712
Buccinidae	37796
Buccinoidea	216303
Bugulidae	10210
Buguloidea	193209
Buliminellidae	379343
Buliminidae	145762
Bullidae	114736
Bulloidea	216311
Bursidae	74048
Byrsophlebidae	84151
Bythitidae	181401
Bythocytheridae	182506
Caecidae	761540
Calanidae	6835
Calappidae	6797
Calappoidea	761931
Calcidiscaceae	418931
Caligidae	72034
Callanthiidae	270592
Callianassidae	177236
Callionymidae	30908
Calliopiidae	371433
Calliopioidea	1732311
Calliostomatidae	648666
Callipallenidae	61896
Callistoplacidae	291873
Callithamniaceae	2778801
Callochitonidae	291863
Calloporidae	97237
Calloporoidea	193208
Callyspongiidae	178536
Calmidae	2136170
Calosiphoniaceae	173469
Calthropellidae	77177
Calviriidae	993655
Calyptraeidae	52627
Calyptraeoidea	52626
Calyptrosphaeraceae	284803
Camacolaimidae	2044977
Camacolaimoidea	2044983
Campanulariidae	27800
Campydoroidea	211213
Cancellariidae	55860
Cancridae	6753
Cancrisidae	2448415
Cancroidea	29964
Candaciidae	207962
Candeinidae	391242
Candidae	97286
Cannobotryidae	2506352
Canthocamptidae	298464
Canuellidae	162083
Capitellidae	51292
Caprellidae	244427
Caprellidira	116674
Caprelloidea	116670
Caproidae	31098
Capsalidae	66919
Capulidae	211734
Capuloidea	216295
Carangidae	8157
Carapidae	94930
Carcharhinidae	7805
Carcinidae	1343471
Carcinonemertidae	187612
Cardiidae	55708
Cardioidea	105710
Carditidae	52614
Carditoidea	114928
Carinariidae	500092
Carnobacteriaceae	186828
Carybdeidae	6139
Caryophylliidae	46746
Cassidae	219137
Cassidulinidae	203408
Cassiopeidae	37536
Catapsydracidae	1495884
Catenulaceae	59795
Caulacanthaceae	38384
Caulerpaceae	35432
Caulobacteraceae	76892
Cavoliniidae	216329
Cellariidae	97240
Cellarioidea	193232
Celleporidae	97247
Celleporoidea	193247
Cellulomonadaceae	85016
Centriscidae	206122
Centroderidae	549185
Centrolophidae	163122
Centropagidae	136181
Centrophoridae	117924
Cepheidae	323335
Cepolidae	270595
Ceramiaceae	31377
Ceramonematidae	331559
Ceratiaceae	39451
Ceratocoryaceae	66798
Cerianthidae	37513
Cerithiidae	69701
Cerithioidea	69597
Cerithiopsidae	69535
Cestidae	27920
Chaetasteridae	478275
Chaetocerotaceae	49236
Chaetodermatidae	53689
Chaetodontidae	30828
Chaetophoraceae	33093
Chaetopleuridae	57877
Chaetopteridae	6378
Chalinidae	6056
Chamidae	61350
Chamoidea	120378
Champiaceae	31497
Charadriidae	8907
Chattonellaceae	658124
Cheilodactylidae	76917
Cheirocratidae	1732312
Chelonibiidae	2899677
Cheloniidae	8465
Chelonioidea	27791
Chilostomellidae	212508
Chimaeridae	7869
Chiridotidae	36319
Chiroteuthidae	61694
Chitinophagaceae	563835
Chitonidae	39684
Chlamydomonadaceae	3051
Chlopsidae	118146
Chlorellaceae	35461
Chlorobiaceae	191412
Chlorodendraceae	35429
Chlorophthalmidae	68511
Chondrillidae	129258
Chondropsidae	491774
Chordariaceae	66220
Chorizoporidae	1072065
Chromadoridae	73931
Chromadoroidea	2301099
Chromatiaceae	1046
Chromodorididae	71294
Chrysochromulinaceae	1136790
Chrysopetalidae	115831
Chrysosphaeraceae	98653
Chtenopterygidae	61697
Chthamalidae	37897
Chthamaloidea	2899672
Cibicididae	212496
Cicerinidae	297398
Cidaridae	7630
Cimidae	699220
Cingulopsidae	1273264
Cingulopsoidea	1273263
Cionidae	7717
Cirolanidae	96838
Cirratulidae	46590
Cirrholoveniidae	500011
Citharidae	30943
Cladocorynidae	264069
Cladonematidae	123097
Cladophoraceae	35436
Cladopyxidaceae	1129411
Cladorhizidae	68559
Cladostephaceae	74469
Clathrinidae	45127
Clathurellidae	1077931
Clausidiidae	1109338
Clausocalanidae	148994
Clausophyidae	316198
Clavagellidae	228458
Clavelinidae	159415
Clavulariidae	86519
Cletodidae	162079
Climacospheniaceae	449128
Clinidae	57768
Clionaidae	76784
Clionidae	71514
Clostridiaceae	31979
Clupeidae	55118
Cobitidae	7982
Coccodiscidae	299202
Coccolithaceae	418933
Cocconeidaceae	216714
Cocculinidae	69561
Codiaceae	3131
Codonellidae	180938
Codonellopsidae	211020
Coelodendridae	238787
Coelosphaeridae	283421
Colaconemataceae	658649
Colatooeciidae	2865348
Colepidae	6002
Colidae	2899604
Colloniidae	1756887
Collozoidae	413936
Colomastigidae	371485
Colomastigoidea	2692375
Colossendeidae	61972
Colubrariidae	2831796
Columbellidae	74056
Colwelliaceae	267889
Comamonadaceae	80864
Comatulidae	106121
Comesomatidae	129877
Condylanthidae	1742633
Conexibacteraceae	320583
Congridae	7941
Conoidea	37797
Convolutidae	31268
Coralliidae	44185
Corallimorphidae	44296
Corallinaceae	31396
Corallistidae	73792
Corbulidae	52623
Corellidae	71175
Corethraceae	49241
Coriobacteriaceae	84107
Cornulariidae	723795
Coronarctidae	1785946
Coronulidae	37895
Corophiidae	371451
Corophiidira	1732207
Corophioidea	82098
Corycaeidae	749182
Corymorphidae	264056
