id	DB	Resolution	phylum	class	order	family	genus	species	DB	Resolution	phylum	class	order	family	genus	species	DB	Resolution	phylum	class	order	family	genus	species	DB	Resolution	phylum	class	order	family	genus	species
MBPK_000000245	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000000255	COInr	6	Bryozoa_10205	Stenolaemata_97264	Tubuliporida_365322	Tubuliporidae_365323	Idmidronea_646409	Idmidronea_atlantica_646410	COInr-WO_Insecta	6	Bryozoa_10205	Stenolaemata_97264	Tubuliporida_365322	Tubuliporidae_365323	Idmidronea_646409	Idmidronea_atlantica_646410	COInr_Med	6	Bryozoa_10205	Stenolaemata_97264	Tubuliporida_365322	Tubuliporidae_365323	Idmidronea_646409	Idmidronea_atlantica_646410	COInr_Med_plus	6	Bryozoa_10205	Stenolaemata_97264	Tubuliporida_365322	Tubuliporidae_365323	Idmidronea_646409	Idmidronea_atlantica_646410
MBPK_000000277	COInr	3	Cnidaria_6073	Anthozoa_6101	Alcyonacea_40677				COInr-WO_Insecta	3	Cnidaria_6073	Anthozoa_6101	Alcyonacea_40677				COInr_Med	3	Cnidaria_6073	Anthozoa_6101	Alcyonacea_40677				COInr_Med_plus	3	Cnidaria_6073	Anthozoa_6101	Alcyonacea_40677			
MBPK_000000284	COInr	3	Arthropoda_6656	Hexanauplia_72037	Harpacticoida_41212				COInr-WO_Insecta	3	Arthropoda_6656	Hexanauplia_72037	Harpacticoida_41212				COInr_Med	0							COInr_Med_plus	0						
MBPK_000000287	COInr	5	Cnidaria_6073	Hydrozoa_6074	Leptothecata_500008	Aglaopheniidae_308582	Aglaophenia_308583		COInr-WO_Insecta	5	Cnidaria_6073	Hydrozoa_6074	Leptothecata_500008	Aglaopheniidae_308582	Aglaophenia_308583		COInr_Med	5	Cnidaria_6073	Hydrozoa_6074	Leptothecata_500008	Aglaopheniidae_308582	Aglaophenia_308583		COInr_Med_plus	5	Cnidaria_6073	Hydrozoa_6074	Leptothecata_500008	Aglaopheniidae_308582	Aglaophenia_308583	
MBPK_000000397	COInr	6	Cnidaria_6073	Hydrozoa_6074	Leptothecata_500008	Teclaiidae_-34015	Parateclaia_-34016	Parateclaia_norvegica_-34017	COInr-WO_Insecta	6	Cnidaria_6073	Hydrozoa_6074	Leptothecata_500008	Teclaiidae_-34015	Parateclaia_-34016	Parateclaia_norvegica_-34017	COInr_Med	6	Cnidaria_6073	Hydrozoa_6074	Leptothecata_500008	Sertulariidae_86619	Sertularella_308611	Sertularella_polyzonias_475738	COInr_Med_plus	6	Cnidaria_6073	Hydrozoa_6074	Leptothecata_500008	Sertulariidae_86619	Sertularella_308611	Sertularella_polyzonias_475738
MBPK_000000468	COInr	5	Porifera_6040	Demospongiae_6042	Axinellida_1779152	Raspailiidae_261678	Raspailia_436703		COInr-WO_Insecta	5	Porifera_6040	Demospongiae_6042	Axinellida_1779152	Raspailiidae_261678	Raspailia_436703		COInr_Med	5	Porifera_6040	Demospongiae_6042	Axinellida_1779152	Raspailiidae_261678	Raspailia_436703		COInr_Med_plus	5	Porifera_6040	Demospongiae_6042	Axinellida_1779152	Raspailiidae_261678	Raspailia_436703	
MBPK_000000508	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000000692	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000000701	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000000856	COInr	6	Annelida_6340	Polychaeta_6341	Phyllodocida_6348	Polynoidae_46593	Harmothoe_46594	Harmothoe_clavigera_2922069	COInr-WO_Insecta	6	Annelida_6340	Polychaeta_6341	Phyllodocida_6348	Polynoidae_46593	Harmothoe_46594	Harmothoe_clavigera_2922069	COInr_Med	6	Annelida_6340	Polychaeta_6341	Phyllodocida_6348	Polynoidae_46593	Harmothoe_46594	Harmothoe_clavigera_2922069	COInr_Med_plus	5	Annelida_6340	Polychaeta_6341	Phyllodocida_6348	Polynoidae_46593	Harmothoe_46594	
MBPK_000000986	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
MBPK_000001042	COInr	6	Rhodophyta_2763	Florideophyceae_2806	Ceramiales_2802	Dasyaceae_35164	Dasya_35165	Dasya_tenuis_2896671	COInr-WO_Insecta	6	Rhodophyta_2763	Florideophyceae_2806	Ceramiales_2802	Dasyaceae_35164	Dasya_35165	Dasya_tenuis_2896671	COInr_Med	6	Rhodophyta_2763	Florideophyceae_2806	Ceramiales_2802	Dasyaceae_35164	Dasya_35165	Dasya_tenuis_2896671	COInr_Med_plus	6	Rhodophyta_2763	Florideophyceae_2806	Ceramiales_2802	Dasyaceae_35164	Dasya_35165	Dasya_tenuis_2896671
MBPK_000001188	COInr	0							COInr-WO_Insecta	0							COInr_Med	0							COInr_Med_plus	0						
